"mu_xi_boys[1]" "mu_xi_boys[2]" "mu_xi_boys[3]" "mu_xi_boys[4]" "mu_xi_boys[5]" "mu_xi_boys[6]" "mu_xi_boys[7]" "mu_xi_boys[8]" "mu_xi_boys[9]" "mu_xi_boys[10]"
"1" -0.602552051710016 0.0445804153435959 -0.972690075359621 0.863588742506277 1.34650359618858 0.288575291860291 0.415526471127846 1.06978367969825 0.19084625276311 0.497570900925377
"2" -2.9413304336294 6.47209784912067 13.6233121407921 8.80652426800078 3.31302443496028 -2.01246982042189 1.12224533681903 11.0538148375478 -1.57730961698317 0.107278373367167
"3" -0.819804098025401 3.55731941745461 15.3801127893315 8.67038891707398 5.00679129679905 -6.1254898844723 3.10484601253629 12.1399302685393 -2.42317984565203 0.690133486325127
"4" -0.26520097951864 2.59319213635421 14.9200310548632 12.1587444972075 2.10899410375194 -7.40665470583261 6.12526986820134 10.3190049865892 -1.83257152665569 0.261270920541461
"5" 0.623794069737561 1.71492949704418 15.0350279067332 10.8010808155493 4.56281244354583 -10.2798182512659 6.99535289388786 10.8802343285289 -2.04264487622874 0.314183719037253
"6" 0.55306541641492 0.516091979486328 16.2540835768224 10.9406437054147 4.99416407122418 -12.4994172126832 9.77615456772227 10.4066987676854 -3.21799323325908 0.528400441828813
"7" 1.83018048017185 -0.235600210427354 16.0996689062334 11.0779874566705 5.33579500064499 -12.1909095056248 9.77214614308732 9.04557126098977 -2.20758580893617 0.740316616405066
"8" 2.05282030927716 -1.06993385519008 17.0056232915176 10.8291030338436 5.28971591056577 -13.8810911795089 11.4911069848702 8.69499218647218 -1.68590225057905 0.702869772137352
"9" 2.45635952631251 -1.52625061411155 17.4318437884422 10.8337428910627 5.49281543441253 -14.0526845447331 13.4010365603403 6.49350216890606 -1.10416505717533 0.203997512602099
"10" 3.62646023133767 -2.99429759498597 17.8173178013453 11.3878817535818 4.54295313841916 -14.0574727641044 12.6706503316293 6.44513258896036 -0.543904083900607 0.480898831728735
"11" 3.55145623424872 -3.82239718650569 19.0560766217117 11.2900653044403 3.88136015452715 -14.506680344244 13.349230204417 7.71052594188539 -1.51501957549323 0.636812165706454
"12" 5.23845637971727 -4.97121305267702 17.7759260358813 13.3067159754872 2.93288533113477 -13.0224537598514 12.6499438479398 7.66323759227329 -1.52106311530094 0.306277883306685
"13" 4.94766156719485 -4.94446291787678 20.0406166872798 12.655271127254 1.39897018372241 -11.2762355453697 11.1418389259293 8.20376272742538 -1.72421197987086 0.640312961584045
"14" 5.34795528769305 -5.85832431106218 19.087431346123 14.2022381825244 0.992746426500893 -12.0195292873502 10.6149280554951 9.43081096884423 -2.15248900092023 0.77399493635027
"15" 4.68232663639951 -5.02184519809176 19.1268653523947 12.7841249413202 1.89783637856399 -12.5636008402933 12.0774657983296 8.77780483958285 -2.36101123807444 0.884090455741732
"16" 4.57467367571397 -3.97620424684525 18.6419266606593 13.7380437905982 2.11692010563247 -13.2738472788746 12.8021253846764 6.89522341683765 -0.956267191485688 0.477169712363343
"17" 4.96900117256733 -4.48244178001433 18.2669312502863 13.3965206867788 1.8009181405632 -13.4296160150984 13.7083685351191 6.27756748716956 -1.09840505857109 0.361940955261116
"18" 4.07373846684975 -3.92739804116009 19.1044536129258 12.3064086721646 3.44227836000288 -15.4584886987485 15.2170787279021 5.7778149185467 -1.11674952085426 0.694052039702079
