"mu_xi_girls[1]" "mu_xi_girls[2]" "mu_xi_girls[3]" "mu_xi_girls[4]" "mu_xi_girls[5]" "mu_xi_girls[6]" "mu_xi_girls[7]" "mu_xi_girls[8]" "mu_xi_girls[9]" "mu_xi_girls[10]" "mu_xi_girls[11]" "mu_xi_girls[12]" "mu_xi_girls[13]" "mu_xi_girls[14]" "mu_xi_girls[15]" "mu_xi_girls[16]" "mu_xi_girls[17]"
"1" -2.25590643391659 4.55571551757312 2.69924561757751 -2.38625080403143 0.229285188203568 -2.1696240995381 3.50696269893734 1.41099487446784 1.84946264353835 0.311935630859977 -2.76109688814512 -1.30343572638689 0.353091261953225 -0.0469213062626151 6.62893229954298 -0.668533258430267 3.87542903734242
"2" 0.0940248680395861 0.177396117603652 8.50870895891067 7.42585422001284 12.9244897772237 3.01193812015709 9.54848419339431 7.51131570355509 -4.82295214838468 6.11639601731555 1.60311644390131 3.66956820651131 6.74941056251941 -2.38471635980809 -0.78374644891214 1.07604743343467 0.202048376609981
"3" 4.97508314375264 -1.05315905700693 4.02528216623221 10.9546989458207 13.2706859590152 5.21828429935281 9.83741650136568 5.56030850393294 -8.88990500352993 8.55367052241887 2.72213200775872 3.16885817447416 8.13091562788865 -4.43772168648289 0.439949553682891 0.0833454853204368 0.452296025349347
"4" 6.79281180263207 -3.40564052087579 5.18083082579786 11.7288269106408 12.036364269471 4.68284149966124 10.260801647684 6.67885680740445 -8.57044648952597 7.67505352139415 2.54315339453357 3.24772654996226 8.59239307607048 -4.47061033894101 0.101263634111749 0.157451284477303 0.503632108513835
"5" 9.28619122888068 -3.47756807170499 2.01430497340275 13.1960631286076 13.7364104881313 4.04296681502997 10.4335431256021 5.39274380561444 -8.36579619488894 7.10539455482005 3.9428201751654 3.54952849673274 8.02618952391774 -4.75616984549115 -0.316970351097477 1.16636035598847 0.0358626720981332
"6" 9.67619049562958 -4.97339506041759 3.14572151383179 14.1536701902236 13.8240373983833 3.37219428874659 11.0257221428835 4.71458171791579 -8.8854255443667 8.00117903994359 4.50872480813999 2.96770210254373 6.22054370884282 -4.22218468691123 0.602800588205059 1.41522869711143 -0.108608731857289
"7" 11.9944460504642 -5.7339660953353 0.70518647999859 17.0699051465765 11.8698349422146 1.00008679304247 13.7278872406894 6.83336802373517 -10.5273344789571 6.07959784334082 3.87502397449225 5.20085359148657 8.74822858289103 -7.22333794782472 1.56343677793605 1.04500788894948 -0.024514221539497
"8" 13.3769101647614 -6.19000030239024 -0.531571036870618 18.193492127387 13.1795932432565 1.34226659822112 12.2244429667049 5.7211380595899 -11.7676382162697 9.70201972269488 4.04202481619636 6.15917820870816 3.40415486705139 -5.61451273550824 2.62462042861621 0.568312195373094 0.216731780495319
"9" 13.7252410093561 -5.80807795155316 -1.0177909122425 18.1973139157623 13.1152148104665 -2.33587653675477 16.0900437501655 7.33433308218681 -12.6894392048398 6.63448464311147 4.49937482138343 5.7591835524373 8.46504304060214 -10.1072325284004 4.62077384880252 -0.193690474509486 0.405346816376921
"10" 16.4099822046534 -7.93106717687631 -2.13634898436138 21.8257715012149 12.7049876369143 -4.36021920414735 17.048891565772 7.82206873750052 -12.1219626336006 5.43917627672537 5.58630666134739 6.11934298579422 8.66810580410011 -10.7323758838948 4.91883438959957 -0.253433969581295 -0.0318786510392884
"11" 17.1606213687956 -8.59654221393425 -2.31931748477698 21.9453375014196 13.230781635201 -5.30904725690384 18.146325901568 6.22631850273802 -11.8499918278062 4.85658442546239 7.70351558700397 5.89829542455809 6.87097014842719 -11.5600302558871 6.85184944999992 -0.804589908171521 -0.0134208983797981
"12" 17.0326210849006 -8.40480982921758 -1.5484850188875 21.600983639923 12.548760906068 -4.58353289412866 17.8066605771008 6.6587311857667 -11.7210468390813 2.93181196658522 8.68291311422871 7.44150433429032 6.46511399630772 -11.3003623410442 5.93202666433037 -1.0426787715946 0.374054996290006
